Logging to wandb run sevixdd/prior_debugging/21a645l2-fast-cloud-3
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(19.0830, device='cuda:0'), 'tracking/samples-seen': tensor(8, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1559, device='cuda:0')}
{'tracking/samples-sec': tensor(138.7952, device='cuda:0'), 'tracking/samples-seen': tensor(16, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0226, device='cuda:0')}
{'tracking/samples-sec': tensor(150.3490, device='cuda:0'), 'tracking/samples-seen': tensor(24, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2687, device='cuda:0')}
{'tracking/samples-sec': tensor(149.6943, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9790, device='cuda:0')}
{'tracking/samples-sec': tensor(135.3525, device='cuda:0'), 'tracking/samples-seen': tensor(40, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9753, device='cuda:0')}
{'tracking/samples-sec': tensor(156.1238, device='cuda:0'), 'tracking/samples-seen': tensor(48, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7474, device='cuda:0')}
{'tracking/samples-sec': tensor(158.0036, device='cuda:0'), 'tracking/samples-seen': tensor(56, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0897, device='cuda:0')}
{'tracking/samples-sec': tensor(157.0209, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0441, device='cuda:0')}
{'tracking/samples-sec': tensor(117.4135, device='cuda:0'), 'tracking/samples-seen': tensor(72, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9083, device='cuda:0')}
{'tracking/samples-sec': tensor(146.1258, device='cuda:0'), 'tracking/samples-seen': tensor(80, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9361, device='cuda:0')}
{'tracking/samples-sec': tensor(150.2836, device='cuda:0'), 'tracking/samples-seen': tensor(88, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8946, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6720, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8772, device='cuda:0')}
{'tracking/samples-sec': tensor(114.1664, device='cuda:0'), 'tracking/samples-seen': tensor(104, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8051, device='cuda:0')}
{'tracking/samples-sec': tensor(154.3336, device='cuda:0'), 'tracking/samples-seen': tensor(112, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8523, device='cuda:0')}
{'tracking/samples-sec': tensor(159.7526, device='cuda:0'), 'tracking/samples-seen': tensor(120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7562, device='cuda:0')}
{'tracking/samples-sec': tensor(157.0334, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6526, device='cuda:0')}
100% 4/4 [00:00<00:00, 8376.04it/s]
{'tracking/samples-sec': tensor(120.7693, device='cuda:0'), 'tracking/samples-seen': tensor(136, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6501, device='cuda:0')}
{'tracking/samples-sec': tensor(147.2073, device='cuda:0'), 'tracking/samples-seen': tensor(144, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7243, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6226, device='cuda:0'), 'tracking/samples-seen': tensor(152, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6569, device='cuda:0')}
{'tracking/samples-sec': tensor(159.3618, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7215, device='cuda:0')}
{'tracking/samples-sec': tensor(115.6674, device='cuda:0'), 'tracking/samples-seen': tensor(168, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5320, device='cuda:0')}
