Logging to wandb run sevixdd/prior_debugging/39wr5xk3-youthful-sea-4
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(19.0195, device='cuda:0'), 'tracking/samples-seen': tensor(8, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1558, device='cuda:0')}
{'tracking/samples-sec': tensor(141.2063, device='cuda:0'), 'tracking/samples-seen': tensor(16, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0221, device='cuda:0')}
{'tracking/samples-sec': tensor(150.7536, device='cuda:0'), 'tracking/samples-seen': tensor(24, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2685, device='cuda:0')}
{'tracking/samples-sec': tensor(156.8345, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9790, device='cuda:0')}
{'tracking/samples-sec': tensor(150.3267, device='cuda:0'), 'tracking/samples-seen': tensor(40, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9750, device='cuda:0')}
{'tracking/samples-sec': tensor(158.3227, device='cuda:0'), 'tracking/samples-seen': tensor(48, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7474, device='cuda:0')}
{'tracking/samples-sec': tensor(159.7533, device='cuda:0'), 'tracking/samples-seen': tensor(56, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0902, device='cuda:0')}
{'tracking/samples-sec': tensor(159.4179, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0441, device='cuda:0')}
{'tracking/samples-sec': tensor(119.0051, device='cuda:0'), 'tracking/samples-seen': tensor(72, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9076, device='cuda:0')}
{'tracking/samples-sec': tensor(156.3974, device='cuda:0'), 'tracking/samples-seen': tensor(80, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9361, device='cuda:0')}
{'tracking/samples-sec': tensor(151.0352, device='cuda:0'), 'tracking/samples-seen': tensor(88, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8945, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6712, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8773, device='cuda:0')}
{'tracking/samples-sec': tensor(118.8260, device='cuda:0'), 'tracking/samples-seen': tensor(104, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8051, device='cuda:0')}
{'tracking/samples-sec': tensor(157.9084, device='cuda:0'), 'tracking/samples-seen': tensor(112, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8528, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8462, device='cuda:0'), 'tracking/samples-seen': tensor(120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7554, device='cuda:0')}
{'tracking/samples-sec': tensor(158.9346, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6525, device='cuda:0')}
100% 51/51 [00:00<00:00, 18988.86it/s]
