Logging to wandb run sevixdd/prior_debugging/1vmnqgo7-denim-hill-7
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(66.3104, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1337, device='cuda:0')}
{'tracking/samples-sec': tensor(280.5432, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1004, device='cuda:0')}
{'tracking/samples-sec': tensor(270.8061, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2311, device='cuda:0')}
{'tracking/samples-sec': tensor(282.2101, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0889, device='cuda:0')}
{'tracking/samples-sec': tensor(263.2830, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1319, device='cuda:0')}
{'tracking/samples-sec': tensor(282.8322, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0489, device='cuda:0')}
{'tracking/samples-sec': tensor(253.8210, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0066, device='cuda:0')}
{'tracking/samples-sec': tensor(283.3780, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9466, device='cuda:0')}
100% 51/51 [00:00<00:00, 18307.90it/s]
{'tracking/samples-sec': tensor(262.2362, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8821, device='cuda:0')}
{'tracking/samples-sec': tensor(284.2970, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7551, device='cuda:0')}
{'tracking/samples-sec': tensor(246.6771, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7030, device='cuda:0')}
{'tracking/samples-sec': tensor(285.0789, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7488, device='cuda:0')}
{'tracking/samples-sec': tensor(247.3170, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7560, device='cuda:0')}
{'tracking/samples-sec': tensor(276.3717, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6584, device='cuda:0')}
