Logging to wandb run sevixdd/prior_debugging/2zfsonbi-dutiful-spaceship-8
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(67.3318, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1337, device='cuda:0')}
{'tracking/samples-sec': tensor(266.8201, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1004, device='cuda:0')}
{'tracking/samples-sec': tensor(275.1592, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2311, device='cuda:0')}
{'tracking/samples-sec': tensor(282.3609, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0889, device='cuda:0')}
{'tracking/samples-sec': tensor(267.1664, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1319, device='cuda:0')}
{'tracking/samples-sec': tensor(277.5410, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0489, device='cuda:0')}
{'tracking/samples-sec': tensor(263.7507, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0066, device='cuda:0')}
{'tracking/samples-sec': tensor(283.2016, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9466, device='cuda:0')}
100% 51/51 [00:00<00:00, 20681.57it/s]
{'tracking/samples-sec': tensor(249.5106, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8821, device='cuda:0')}
{'tracking/samples-sec': tensor(279.2473, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7551, device='cuda:0')}
{'tracking/samples-sec': tensor(243.8385, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7030, device='cuda:0')}
{'tracking/samples-sec': tensor(207.1882, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7488, device='cuda:0')}
{'tracking/samples-sec': tensor(207.8230, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7560, device='cuda:0')}
{'tracking/samples-sec': tensor(282.3681, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6584, device='cuda:0')}
{'tracking/samples-sec': tensor(274.8403, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7085, device='cuda:0')}
{'tracking/samples-sec': tensor(281.7948, device='cuda:0'), 'tracking/samples-seen': tensor(512, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6895, device='cuda:0')}
{'tracking/samples-sec': tensor(274.9614, device='cuda:0'), 'tracking/samples-seen': tensor(544, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6734, device='cuda:0')}
{'tracking/samples-sec': tensor(277.2137, device='cuda:0'), 'tracking/samples-seen': tensor(576, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6520, device='cuda:0')}
{'tracking/samples-sec': tensor(275.6305, device='cuda:0'), 'tracking/samples-seen': tensor(608, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6165, device='cuda:0')}
{'tracking/samples-sec': tensor(282.1787, device='cuda:0'), 'tracking/samples-seen': tensor(640, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6276, device='cuda:0')}
{'tracking/samples-sec': tensor(271.8895, device='cuda:0'), 'tracking/samples-seen': tensor(672, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6185, device='cuda:0')}
{'tracking/samples-sec': tensor(273.0089, device='cuda:0'), 'tracking/samples-seen': tensor(704, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5914, device='cuda:0')}
{'tracking/samples-sec': tensor(273.7216, device='cuda:0'), 'tracking/samples-seen': tensor(736, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5831, device='cuda:0')}
{'tracking/samples-sec': tensor(281.0742, device='cuda:0'), 'tracking/samples-seen': tensor(768, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5960, device='cuda:0')}
{'tracking/samples-sec': tensor(270.3795, device='cuda:0'), 'tracking/samples-seen': tensor(800, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5718, device='cuda:0')}
{'tracking/samples-sec': tensor(281.4037, device='cuda:0'), 'tracking/samples-seen': tensor(832, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5504, device='cuda:0')}
{'tracking/samples-sec': tensor(282.1093, device='cuda:0'), 'tracking/samples-seen': tensor(864, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5077, device='cuda:0')}
{'tracking/samples-sec': tensor(276.3393, device='cuda:0'), 'tracking/samples-seen': tensor(896, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5233, device='cuda:0')}
{'tracking/samples-sec': tensor(280.1005, device='cuda:0'), 'tracking/samples-seen': tensor(928, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5609, device='cuda:0')}
{'tracking/samples-sec': tensor(280.4101, device='cuda:0'), 'tracking/samples-seen': tensor(960, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5444, device='cuda:0')}
{'tracking/samples-sec': tensor(267.8451, device='cuda:0'), 'tracking/samples-seen': tensor(992, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5437, device='cuda:0')}
{'tracking/samples-sec': tensor(281.2975, device='cuda:0'), 'tracking/samples-seen': tensor(1024, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5384, device='cuda:0')}
{'tracking/samples-sec': tensor(269.9987, device='cuda:0'), 'tracking/samples-seen': tensor(1056, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4965, device='cuda:0')}
{'tracking/samples-sec': tensor(282.1674, device='cuda:0'), 'tracking/samples-seen': tensor(1088, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5516, device='cuda:0')}
{'tracking/samples-sec': tensor(278.7851, device='cuda:0'), 'tracking/samples-seen': tensor(1120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5203, device='cuda:0')}
{'tracking/samples-sec': tensor(281.2645, device='cuda:0'), 'tracking/samples-seen': tensor(1152, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4928, device='cuda:0')}
{'tracking/samples-sec': tensor(275.3043, device='cuda:0'), 'tracking/samples-seen': tensor(1184, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5146, device='cuda:0')}
{'tracking/samples-sec': tensor(280.1912, device='cuda:0'), 'tracking/samples-seen': tensor(1216, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5155, device='cuda:0')}
