Logging to wandb run sevixdd/prior_debugging/2ehbu486-dutiful-sun-10
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(48.8442, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1339, device='cuda:0')}
{'tracking/samples-sec': tensor(281.0637, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1004, device='cuda:0')}
{'tracking/samples-sec': tensor(272.7393, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2313, device='cuda:0')}
{'tracking/samples-sec': tensor(282.4108, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0889, device='cuda:0')}
{'tracking/samples-sec': tensor(257.0556, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1320, device='cuda:0')}
{'tracking/samples-sec': tensor(283.6439, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0490, device='cuda:0')}
100% 51/51 [00:00<00:00, 20846.85it/s]
{'tracking/samples-sec': tensor(256.4731, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0070, device='cuda:0')}
{'tracking/samples-sec': tensor(282.9783, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9466, device='cuda:0')}
{'tracking/samples-sec': tensor(255.2789, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8822, device='cuda:0')}
{'tracking/samples-sec': tensor(283.4659, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7551, device='cuda:0')}
{'tracking/samples-sec': tensor(234.8734, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7030, device='cuda:0')}
{'tracking/samples-sec': tensor(283.6475, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7489, device='cuda:0')}
{'tracking/samples-sec': tensor(249.6275, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7560, device='cuda:0')}
{'tracking/samples-sec': tensor(283.4905, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6583, device='cuda:0')}
{'tracking/samples-sec': tensor(239.8111, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7084, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1980, device='cuda:0'), 'tracking/samples-seen': tensor(512, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6895, device='cuda:0')}
{'tracking/samples-sec': tensor(249.2715, device='cuda:0'), 'tracking/samples-seen': tensor(544, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6733, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1604, device='cuda:0'), 'tracking/samples-seen': tensor(576, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6521, device='cuda:0')}
{'tracking/samples-sec': tensor(245.1667, device='cuda:0'), 'tracking/samples-seen': tensor(608, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6166, device='cuda:0')}
{'tracking/samples-sec': tensor(267.5707, device='cuda:0'), 'tracking/samples-seen': tensor(640, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6278, device='cuda:0')}
{'tracking/samples-sec': tensor(244.1037, device='cuda:0'), 'tracking/samples-seen': tensor(672, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6185, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1580, device='cuda:0'), 'tracking/samples-seen': tensor(704, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5914, device='cuda:0')}
{'tracking/samples-sec': tensor(238.5385, device='cuda:0'), 'tracking/samples-seen': tensor(736, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5831, device='cuda:0')}
{'tracking/samples-sec': tensor(267.4102, device='cuda:0'), 'tracking/samples-seen': tensor(768, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5960, device='cuda:0')}
{'tracking/samples-sec': tensor(248.9173, device='cuda:0'), 'tracking/samples-seen': tensor(800, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5719, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1783, device='cuda:0'), 'tracking/samples-seen': tensor(832, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5502, device='cuda:0')}
{'tracking/samples-sec': tensor(233.7917, device='cuda:0'), 'tracking/samples-seen': tensor(864, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5075, device='cuda:0')}
{'tracking/samples-sec': tensor(272.7686, device='cuda:0'), 'tracking/samples-seen': tensor(896, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5234, device='cuda:0')}
{'tracking/samples-sec': tensor(249.6099, device='cuda:0'), 'tracking/samples-seen': tensor(928, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5606, device='cuda:0')}
{'tracking/samples-sec': tensor(283.0678, device='cuda:0'), 'tracking/samples-seen': tensor(960, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5443, device='cuda:0')}
{'tracking/samples-sec': tensor(235.4362, device='cuda:0'), 'tracking/samples-seen': tensor(992, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5436, device='cuda:0')}
{'tracking/samples-sec': tensor(272.1028, device='cuda:0'), 'tracking/samples-seen': tensor(1024, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5385, device='cuda:0')}
{'tracking/samples-sec': tensor(247.2966, device='cuda:0'), 'tracking/samples-seen': tensor(1056, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4965, device='cuda:0')}
{'tracking/samples-sec': tensor(273.0622, device='cuda:0'), 'tracking/samples-seen': tensor(1088, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5515, device='cuda:0')}
{'tracking/samples-sec': tensor(239.9140, device='cuda:0'), 'tracking/samples-seen': tensor(1120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5204, device='cuda:0')}
{'tracking/samples-sec': tensor(281.9291, device='cuda:0'), 'tracking/samples-seen': tensor(1152, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4931, device='cuda:0')}
{'tracking/samples-sec': tensor(252.0180, device='cuda:0'), 'tracking/samples-seen': tensor(1184, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5148, device='cuda:0')}
{'tracking/samples-sec': tensor(271.3690, device='cuda:0'), 'tracking/samples-seen': tensor(1216, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5157, device='cuda:0')}
{'tracking/samples-sec': tensor(249.7376, device='cuda:0'), 'tracking/samples-seen': tensor(1248, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5053, device='cuda:0')}
{'tracking/samples-sec': tensor(283.3535, device='cuda:0'), 'tracking/samples-seen': tensor(1280, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4786, device='cuda:0')}
{'tracking/samples-sec': tensor(240.7972, device='cuda:0'), 'tracking/samples-seen': tensor(1312, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5303, device='cuda:0')}
{'tracking/samples-sec': tensor(263.9494, device='cuda:0'), 'tracking/samples-seen': tensor(1344, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4919, device='cuda:0')}
{'tracking/samples-sec': tensor(249.5964, device='cuda:0'), 'tracking/samples-seen': tensor(1376, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5327, device='cuda:0')}
{'tracking/samples-sec': tensor(282.8983, device='cuda:0'), 'tracking/samples-seen': tensor(1408, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5345, device='cuda:0')}
{'tracking/samples-sec': tensor(246.0859, device='cuda:0'), 'tracking/samples-seen': tensor(1440, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5045, device='cuda:0')}
{'tracking/samples-sec': tensor(270.5888, device='cuda:0'), 'tracking/samples-seen': tensor(1472, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5793, device='cuda:0')}
{'tracking/samples-sec': tensor(248.9986, device='cuda:0'), 'tracking/samples-seen': tensor(1504, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5086, device='cuda:0')}
{'tracking/samples-sec': tensor(282.8274, device='cuda:0'), 'tracking/samples-seen': tensor(1536, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5315, device='cuda:0')}
{'tracking/samples-sec': tensor(242.2397, device='cuda:0'), 'tracking/samples-seen': tensor(1568, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5306, device='cuda:0')}
{'tracking/samples-sec': tensor(269.1584, device='cuda:0'), 'tracking/samples-seen': tensor(1600, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4651, device='cuda:0')}
{'tracking/samples-sec': tensor(243.9435, device='cuda:0'), 'tracking/samples-seen': tensor(1632, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5303, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1944, device='cuda:0'), 'tracking/samples-seen': tensor(1664, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4901, device='cuda:0')}
{'tracking/samples-sec': tensor(246.1284, device='cuda:0'), 'tracking/samples-seen': tensor(1696, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5763, device='cuda:0')}
{'tracking/samples-sec': tensor(272.9878, device='cuda:0'), 'tracking/samples-seen': tensor(1728, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6144, device='cuda:0')}
{'tracking/samples-sec': tensor(248.7679, device='cuda:0'), 'tracking/samples-seen': tensor(1760, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5193, device='cuda:0')}
{'tracking/samples-sec': tensor(282.2891, device='cuda:0'), 'tracking/samples-seen': tensor(1792, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5279, device='cuda:0')}
{'tracking/samples-sec': tensor(237.8819, device='cuda:0'), 'tracking/samples-seen': tensor(1824, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5017, device='cuda:0')}
{'tracking/samples-sec': tensor(282.7964, device='cuda:0'), 'tracking/samples-seen': tensor(1856, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5047, device='cuda:0')}
{'tracking/samples-sec': tensor(251.9768, device='cuda:0'), 'tracking/samples-seen': tensor(1888, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4746, device='cuda:0')}
{'tracking/samples-sec': tensor(283.2183, device='cuda:0'), 'tracking/samples-seen': tensor(1920, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4950, device='cuda:0')}
{'tracking/samples-sec': tensor(233.0379, device='cuda:0'), 'tracking/samples-seen': tensor(1952, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4743, device='cuda:0')}
{'tracking/samples-sec': tensor(283.3122, device='cuda:0'), 'tracking/samples-seen': tensor(1984, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4379, device='cuda:0')}
{'tracking/samples-sec': tensor(249.3303, device='cuda:0'), 'tracking/samples-seen': tensor(2016, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5364, device='cuda:0')}
{'tracking/samples-sec': tensor(283.1305, device='cuda:0'), 'tracking/samples-seen': tensor(2048, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5576, device='cuda:0')}
{'tracking/samples-sec': tensor(245.7323, device='cuda:0'), 'tracking/samples-seen': tensor(2080, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5207, device='cuda:0')}
{'tracking/samples-sec': tensor(282.4132, device='cuda:0'), 'tracking/samples-seen': tensor(2112, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5494, device='cuda:0')}
{'tracking/samples-sec': tensor(244.6407, device='cuda:0'), 'tracking/samples-seen': tensor(2144, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5182, device='cuda:0')}
{'tracking/samples-sec': tensor(283.2536, device='cuda:0'), 'tracking/samples-seen': tensor(2176, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5301, device='cuda:0')}
{'tracking/samples-sec': tensor(241.2608, device='cuda:0'), 'tracking/samples-seen': tensor(2208, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4617, device='cuda:0')}
{'tracking/samples-sec': tensor(282.9872, device='cuda:0'), 'tracking/samples-seen': tensor(2240, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4620, device='cuda:0')}
{'tracking/samples-sec': tensor(238.8607, device='cuda:0'), 'tracking/samples-seen': tensor(2272, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4664, device='cuda:0')}
{'tracking/samples-sec': tensor(282.6803, device='cuda:0'), 'tracking/samples-seen': tensor(2304, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4385, device='cuda:0')}
{'tracking/samples-sec': tensor(240.6901, device='cuda:0'), 'tracking/samples-seen': tensor(2336, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4917, device='cuda:0')}
{'tracking/samples-sec': tensor(282.3152, device='cuda:0'), 'tracking/samples-seen': tensor(2368, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4878, device='cuda:0')}
{'tracking/samples-sec': tensor(244.4473, device='cuda:0'), 'tracking/samples-seen': tensor(2400, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5406, device='cuda:0')}
{'tracking/samples-sec': tensor(282.7327, device='cuda:0'), 'tracking/samples-seen': tensor(2432, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4517, device='cuda:0')}
{'tracking/samples-sec': tensor(241.1113, device='cuda:0'), 'tracking/samples-seen': tensor(2464, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4609, device='cuda:0')}
{'tracking/samples-sec': tensor(283.0535, device='cuda:0'), 'tracking/samples-seen': tensor(2496, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5548, device='cuda:0')}
{'tracking/samples-sec': tensor(245.9935, device='cuda:0'), 'tracking/samples-seen': tensor(2528, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6330, device='cuda:0')}
{'tracking/samples-sec': tensor(283.5732, device='cuda:0'), 'tracking/samples-seen': tensor(2560, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6149, device='cuda:0')}
{'tracking/samples-sec': tensor(235.4148, device='cuda:0'), 'tracking/samples-seen': tensor(2592, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5984, device='cuda:0')}
{'tracking/samples-sec': tensor(282.6219, device='cuda:0'), 'tracking/samples-seen': tensor(2624, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5525, device='cuda:0')}
{'tracking/samples-sec': tensor(245.1138, device='cuda:0'), 'tracking/samples-seen': tensor(2656, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5466, device='cuda:0')}
{'tracking/samples-sec': tensor(272.3828, device='cuda:0'), 'tracking/samples-seen': tensor(2688, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5528, device='cuda:0')}
{'tracking/samples-sec': tensor(247.6634, device='cuda:0'), 'tracking/samples-seen': tensor(2720, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5542, device='cuda:0')}
{'tracking/samples-sec': tensor(282.9986, device='cuda:0'), 'tracking/samples-seen': tensor(2752, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5154, device='cuda:0')}
{'tracking/samples-sec': tensor(244.5440, device='cuda:0'), 'tracking/samples-seen': tensor(2784, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5157, device='cuda:0')}
{'tracking/samples-sec': tensor(271.4068, device='cuda:0'), 'tracking/samples-seen': tensor(2816, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5133, device='cuda:0')}
{'tracking/samples-sec': tensor(250.7885, device='cuda:0'), 'tracking/samples-seen': tensor(2848, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5245, device='cuda:0')}
{'tracking/samples-sec': tensor(282.7672, device='cuda:0'), 'tracking/samples-seen': tensor(2880, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4848, device='cuda:0')}
{'tracking/samples-sec': tensor(232.3428, device='cuda:0'), 'tracking/samples-seen': tensor(2912, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4587, device='cuda:0')}
{'tracking/samples-sec': tensor(270.6172, device='cuda:0'), 'tracking/samples-seen': tensor(2944, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5071, device='cuda:0')}
{'tracking/samples-sec': tensor(248.9483, device='cuda:0'), 'tracking/samples-seen': tensor(2976, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4845, device='cuda:0')}
{'tracking/samples-sec': tensor(282.0702, device='cuda:0'), 'tracking/samples-seen': tensor(3008, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4680, device='cuda:0')}
{'tracking/samples-sec': tensor(244.3165, device='cuda:0'), 'tracking/samples-seen': tensor(3040, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4816, device='cuda:0')}
{'tracking/samples-sec': tensor(270.4912, device='cuda:0'), 'tracking/samples-seen': tensor(3072, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4995, device='cuda:0')}
