Logging to wandb run sevixdd/prior_debugging/2uzg0ahp-colorful-sky-12
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(57.9249, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1663, device='cuda:0')}
{'tracking/samples-sec': tensor(170.6593, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0944, device='cuda:0')}
{'tracking/samples-sec': tensor(167.6862, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2252, device='cuda:0')}
{'tracking/samples-sec': tensor(169.8658, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0973, device='cuda:0')}
{'tracking/samples-sec': tensor(169.0131, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1257, device='cuda:0')}
100% 51/51 [00:00<00:00, 10647.03it/s]
{'tracking/samples-sec': tensor(169.9230, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9832, device='cuda:0')}
{'tracking/samples-sec': tensor(161.1998, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9757, device='cuda:0')}
{'tracking/samples-sec': tensor(169.9725, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8847, device='cuda:0')}
{'tracking/samples-sec': tensor(157.9848, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8247, device='cuda:0')}
{'tracking/samples-sec': tensor(166.4309, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7049, device='cuda:0')}
{'tracking/samples-sec': tensor(146.6437, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6469, device='cuda:0')}
{'tracking/samples-sec': tensor(170.0780, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7492, device='cuda:0')}
{'tracking/samples-sec': tensor(153.4625, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7253, device='cuda:0')}
{'tracking/samples-sec': tensor(168.5143, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6510, device='cuda:0')}
{'tracking/samples-sec': tensor(154.6693, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6614, device='cuda:0')}
{'tracking/samples-sec': tensor(168.0332, device='cuda:0'), 'tracking/samples-seen': tensor(512, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6778, device='cuda:0')}
{'tracking/samples-sec': tensor(146.6931, device='cuda:0'), 'tracking/samples-seen': tensor(544, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6257, device='cuda:0')}
