
100% 51/51 [00:00<00:00, 22799.99it/s]
Logging to wandb run sevixdd/prior_debugging/1z366huy-soft-monkey-19
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(58.5102, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1663, device='cuda:0')}
{'tracking/samples-sec': tensor(169.3832, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0944, device='cuda:0')}
{'tracking/samples-sec': tensor(168.8441, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2252, device='cuda:0')}
{'tracking/samples-sec': tensor(169.6654, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0973, device='cuda:0')}
{'tracking/samples-sec': tensor(169.1706, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1257, device='cuda:0')}
{'tracking/samples-sec': tensor(166.6295, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9832, device='cuda:0')}
{'tracking/samples-sec': tensor(169.4867, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9757, device='cuda:0')}
{'tracking/samples-sec': tensor(156.9249, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8847, device='cuda:0')}
{'tracking/samples-sec': tensor(170.4051, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8247, device='cuda:0')}
{'tracking/samples-sec': tensor(163.5079, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7049, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6061, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6469, device='cuda:0')}
{'tracking/samples-sec': tensor(169.1386, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7492, device='cuda:0')}
{'tracking/samples-sec': tensor(153.4859, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7253, device='cuda:0')}
{'tracking/samples-sec': tensor(169.8279, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6510, device='cuda:0')}
{'tracking/samples-sec': tensor(156.8420, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6614, device='cuda:0')}
