
100% 51/51 [00:00<00:00, 16238.48it/s]
Logging to wandb run sevixdd/prior_debugging/22dp96q3-magic-flower-23
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(52.2654, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1848, device='cuda:0')}
{'tracking/samples-sec': tensor(146.7547, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1254, device='cuda:0')}
{'tracking/samples-sec': tensor(146.8391, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2178, device='cuda:0')}
{'tracking/samples-sec': tensor(147.9733, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0550, device='cuda:0')}
{'tracking/samples-sec': tensor(147.2650, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0707, device='cuda:0')}
{'tracking/samples-sec': tensor(147.9127, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9071, device='cuda:0')}
{'tracking/samples-sec': tensor(146.3910, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9091, device='cuda:0')}
{'tracking/samples-sec': tensor(148.7587, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8083, device='cuda:0')}
{'tracking/samples-sec': tensor(146.4348, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7510, device='cuda:0')}
{'tracking/samples-sec': tensor(148.1972, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6589, device='cuda:0')}
{'tracking/samples-sec': tensor(143.0249, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6010, device='cuda:0')}
{'tracking/samples-sec': tensor(147.1503, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7011, device='cuda:0')}
{'tracking/samples-sec': tensor(146.7104, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6937, device='cuda:0')}
{'tracking/samples-sec': tensor(139.9829, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6289, device='cuda:0')}
{'tracking/samples-sec': tensor(114.9999, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6579, device='cuda:0')}
{'tracking/samples-sec': tensor(147.8571, device='cuda:0'), 'tracking/samples-seen': tensor(512, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6546, device='cuda:0')}
{'tracking/samples-sec': tensor(147.4173, device='cuda:0'), 'tracking/samples-seen': tensor(544, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6124, device='cuda:0')}
{'tracking/samples-sec': tensor(147.7204, device='cuda:0'), 'tracking/samples-seen': tensor(576, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6041, device='cuda:0')}
{'tracking/samples-sec': tensor(147.6978, device='cuda:0'), 'tracking/samples-seen': tensor(608, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6028, device='cuda:0')}
{'tracking/samples-sec': tensor(147.6811, device='cuda:0'), 'tracking/samples-seen': tensor(640, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6078, device='cuda:0')}
{'tracking/samples-sec': tensor(144.4086, device='cuda:0'), 'tracking/samples-seen': tensor(672, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5539, device='cuda:0')}
{'tracking/samples-sec': tensor(147.2398, device='cuda:0'), 'tracking/samples-seen': tensor(704, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5575, device='cuda:0')}
