Logging to wandb run sevixdd/prior_debugging/3e7l9keh-vital-morning-27
Saving checkpoint locally
[34m[5mGrabbing data...
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(56.3070, device='cuda:0'), 'tracking/samples-seen': tensor(32, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.3586, device='cuda:0')}
{'tracking/samples-sec': tensor(151.9118, device='cuda:0'), 'tracking/samples-seen': tensor(64, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.3085, device='cuda:0')}
{'tracking/samples-sec': tensor(150.2026, device='cuda:0'), 'tracking/samples-seen': tensor(96, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2334, device='cuda:0')}
{'tracking/samples-sec': tensor(149.4012, device='cuda:0'), 'tracking/samples-seen': tensor(128, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1479, device='cuda:0')}
100% 1/1 [00:00<00:00, 3284.50it/s]
{'tracking/samples-sec': tensor(152.0302, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0645, device='cuda:0')}
{'tracking/samples-sec': tensor(151.7291, device='cuda:0'), 'tracking/samples-seen': tensor(192, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9649, device='cuda:0')}
{'tracking/samples-sec': tensor(147.8421, device='cuda:0'), 'tracking/samples-seen': tensor(224, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8909, device='cuda:0')}
{'tracking/samples-sec': tensor(152.1181, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8179, device='cuda:0')}
{'tracking/samples-sec': tensor(150.8376, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9059, device='cuda:0')}
{'tracking/samples-sec': tensor(149.8477, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8367, device='cuda:0')}
