Logging to wandb run sevixdd/prior_debugging/inxalrw5-dashing-brook-36
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(30.8238, device='cuda:0'), 'tracking/samples-seen': tensor(20, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.3222, device='cuda:0')}
{'tracking/samples-sec': tensor(134.5464, device='cuda:0'), 'tracking/samples-seen': tensor(40, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2888, device='cuda:0')}
{'tracking/samples-sec': tensor(135.7780, device='cuda:0'), 'tracking/samples-seen': tensor(60, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.2377, device='cuda:0')}
{'tracking/samples-sec': tensor(137.6549, device='cuda:0'), 'tracking/samples-seen': tensor(80, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.1637, device='cuda:0')}
100% 1/1 [00:00<00:00, 1776.49it/s]
{'tracking/samples-sec': tensor(134.4352, device='cuda:0'), 'tracking/samples-seen': tensor(100, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0824, device='cuda:0')}
{'tracking/samples-sec': tensor(138.2876, device='cuda:0'), 'tracking/samples-seen': tensor(120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(1.0054, device='cuda:0')}
{'tracking/samples-sec': tensor(130.9531, device='cuda:0'), 'tracking/samples-seen': tensor(140, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.9747, device='cuda:0')}
{'tracking/samples-sec': tensor(135.3770, device='cuda:0'), 'tracking/samples-seen': tensor(160, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8894, device='cuda:0')}
{'tracking/samples-sec': tensor(123.6880, device='cuda:0'), 'tracking/samples-seen': tensor(180, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.8416, device='cuda:0')}
{'tracking/samples-sec': tensor(134.7498, device='cuda:0'), 'tracking/samples-seen': tensor(200, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7774, device='cuda:0')}
{'tracking/samples-sec': tensor(119.8035, device='cuda:0'), 'tracking/samples-seen': tensor(220, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.7320, device='cuda:0')}
{'tracking/samples-sec': tensor(102.8835, device='cuda:0'), 'tracking/samples-seen': tensor(240, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6951, device='cuda:0')}
{'tracking/samples-sec': tensor(133.7885, device='cuda:0'), 'tracking/samples-seen': tensor(260, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6610, device='cuda:0')}
